P(a | i.) 0.04067660088602497
P(specimen | boot-slitting) 0.042383550146873686
P(of | specimen) 0.042383550146873686
P(london | the) 0.0026521019877635693
P(slavey. | london) 0.04067660088602497
P(as | slavey.) 0.042383550146873686
P(your | to) 0.004790589574538728
P(practice, | your) 0.02203796639755619
P(if | practice,) 0.042383550146873686
P(a | if) 0.026010816379088336
P(gentleman | a) 0.009579183148262877
P(walks | gentleman) 0.03503295178633368
P(into | walks) 0.042383550146873686
P(my | into) 0.043857735108007855
P(rooms | my) 0.01265188525616936
P(smelling | rooms) 0.04067660088602497
P(of | smelling) 0.042383550146873686
P(with | iodoform,) 0.042383550146873686
P(black | a) 0.009579183148262877
P(mark | black) 0.03910181958962446
P(of | mark) 0.042383550146873686
P(nitrate | of) 0.004375514447862063
P(of | nitrate) 0.042383550146873686
P(silver | of) 0.004375514447862063
P(upon | silver) 0.042383550146873686
P(right | his) 0.008499537153917361
P(and | forefinger,) 0.042383550146873686
P(bulge | a) 0.004813420387933088
P(on | bulge) 0.042383550146873686
P(right | the) 0.005277945540004726
P(side | right) 0.037644427879239654
P(of | side) 0.03910181958962446
P(top-hat | his) 0.008499537153917361
P(to | top-hat) 0.042383550146873686
P(show | to) 0.009533747569131527
P(where | show) 0.04067660088602497
P(has | he) 0.009918491603653148
P(secreted | has) 0.02473671320107764
P(his | secreted) 0.042383550146873686
P(stethoscope, | his) 0.008499537153917361
P(i | stethoscope,) 0.042383550146873686
P(must | i) 0.015773201278624954
P(be | must) 0.1903339668748303
P(dull, | be) 0.014673834083975011
P(indeed, | dull,) 0.042383550146873686
P(if | indeed,) 0.04067660088602497
P(i | if) 0.05176409992274015
P(do | i) 0.010532935073101712
P(not | do) 0.1529565786602662
P(him | pronounce) 0.042383550146873686
P(to | him) 0.061224489795918366
P(be | to) 0.05696532751505952
P(an | be) 0.02920238268197007
P(active | an) 0.023581601681064674
P(member | active) 0.042383550146873686
P(of | member) 0.042383550146873686
P(medical | the) 0.0026521019877635693
P(profession.” | medical) 0.042383550146873686
P(could | i) 0.03149399989519467
P(not | could) 0.14032220406257295
P(help | not) 0.015823280589064705
P(laughing | help) 0.03910181958962446
P(at | laughing) 0.03910181958962446
P(the | at) 0.21982699437045175
P(ease | the) 0.0026521019877635693
P(with | ease) 0.042383550146873686
P(which | with) 0.025178504321683576
P(explained | he) 0.009918491603653148
P(his | explained) 0.042383550146873686
P(of | process) 0.042383550146873686
P(deduction. | of) 0.004375514447862063
P(“when | deduction.) 0.042383550146873686
P(i | “when) 0.04067660088602497
P(hear | i) 0.010532935073101712
P(you | hear) 0.04067660088602497
P(give | you) 0.01088010341484434
P(your | give) 0.037644427879239654
P(reasons,” | your) 0.02203796639755619
P(i | reasons,”) 0.042383550146873686
P(remarked, | i) 0.010532935073101712
P(thing | “the) 0.03276029841063899
P(always | thing) 0.04067660088602497
P(appears | always) 0.03910181958962446
P(to | appears) 0.042383550146873686
P(me | to) 0.009533747569131527
P(so | be) 0.014673834083975011
P(ridiculously | so) 0.030764544623819678
P(simple | ridiculously) 0.042383550146873686
P(that | simple) 0.04067660088602497
P(easily | could) 0.023581601681064674
P(do | easily) 0.042383550146873686
P(it | do) 0.043857735108007855
P(myself, | it) 0.009113056031760354
P(though | myself,) 0.042383550146873686
P(at | though) 0.04067660088602497
P(each | at) 0.02759851709460387
P(successive | each) 0.03910181958962446
P(instance | successive) 0.042383550146873686
P(of | instance) 0.042383550146873686
P(i | reasoning) 0.04067660088602497
P(am | i) 0.04721479851176439
P(baffled | am) 0.026010816379088336
P(until | baffled) 0.042383550146873686
P(you | until) 0.03910181958962446
P(explain | you) 0.01088010341484434
P(your | explain) 0.042383550146873686
P(process. | your) 0.02203796639755619
P(and | process.) 0.042383550146873686
P(yet | and) 0.013818115043841527
P(i | yet) 0.03503295178633368
P(that | believe) 0.042383550146873686
P(my | that) 0.02054584483287335
P(eyes | my) 0.01265188525616936
P(are | eyes) 0.033858531679517266
P(as | are) 0.023043577458361855
P(good | as) 0.013867911574900454
P(as | good) 0.03276029841063899
P(yours.” | as) 0.013867911574900454
P(so,” | “quite) 0.03910181958962446
P(he | so,”) 0.042383550146873686
P(answered, | he) 0.01973878032014141
P(lighting | answered,) 0.04067660088602497
P(a | lighting) 0.042383550146873686
P(cigarette, | a) 0.004813420387933088
P(and | cigarette,) 0.042383550146873686
P(throwing | and) 0.004636643253913602
P(himself | throwing) 0.042383550146873686
P(into | down) 0.02473671320107764
P(an | into) 0.02203796639755619
P(armchair. | an) 0.023581601681064674
P(“you | armchair.) 0.042383550146873686
P(see, | “you) 0.026010816379088336
P(but | see,) 0.04067660088602497
P(you | but) 0.018090632276553824
P(do | you) 0.03242486265215986
P(observe. | not) 0.015823280589064705
P(the | observe.) 0.04067660088602497
P(is | distinction) 0.042383550146873686
P(clear. | is) 0.01163192445007486
P(for | clear.) 0.042383550146873686
P(example, | for) 0.018090632276553824
P(you | example,) 0.042383550146873686
P(frequently | have) 0.014890166592952971
P(seen | frequently) 0.042383550146873686
P(the | seen) 0.037644427879239654
P(steps | the) 0.0026521019877635693
P(lead | which) 0.03053319155400273
P(up | lead) 0.04067660088602497
P(from | up) 0.02026891430864941
P(the | from) 0.10215876253612102
P(hall | the) 0.005277945540004726
P(to | hall) 0.04067660088602497
P(this | to) 0.004790589574538728
P(room.” | this) 0.02473671320107764
P(often?” | “how) 0.04067660088602497
P(some | “well,) 0.03910181958962446
P(hundreds | some) 0.028997990238300318
P(of | hundreds) 0.042383550146873686
P(times.” | of) 0.004375514447862063
P(how | “then) 0.03503295178633368
P(many | how) 0.028997990238300318
P(are | many) 0.04067660088602497
P(there?” | are) 0.023043577458361855
P(many? | “how) 0.04067660088602497
P(i | many?) 0.042383550146873686
P(don’t | i) 0.010532935073101712
P(know.” | don’t) 0.03910181958962446
P(so! | “quite) 0.03910181958962446
P(you | so!) 0.04067660088602497
P(not | have) 0.029632905793896505
P(observed. | not) 0.015823280589064705
P(and | observed.) 0.04067660088602497
P(you | yet) 0.03503295178633368
P(seen. | have) 0.014890166592952971
P(that | seen.) 0.042383550146873686
P(is | that) 0.02054584483287335
P(just | is) 0.01163192445007486
P(point. | my) 0.01265188525616936
P(now, | point.) 0.042383550146873686
P(i | now,) 0.042383550146873686
P(there | that) 0.04098947153224982
P(are | there) 0.043857735108007855
P(seventeen | are) 0.023043577458361855
P(steps, | seventeen) 0.042383550146873686
P(because | steps,) 0.042383550146873686
P(i | because) 0.042383550146873686
P(seen | both) 0.03910181958962446
P(and | seen) 0.037644427879239654
P(observed. | and) 0.004636643253913602
P(by | observed.) 0.04067660088602497
P(way, | the) 0.005277945540004726
P(since | way,) 0.03910181958962446
P(you | since) 0.07781649245063878
P(are | you) 0.053969621889475385
P(interested | are) 0.023043577458361855
P(in | interested) 0.1165311653116531
P(these | in) 0.006786266209769535
P(problems, | little) 0.028188668713368687
P(and | problems,) 0.042383550146873686
P(since | and) 0.004636643253913602
P(good | are) 0.023043577458361855
P(enough | good) 0.09763217645150826
P(to | enough) 0.11218784942228847
P(chronicle | to) 0.004790589574538728
P(one | chronicle) 0.042383550146873686
P(or | one) 0.043857735108007855
P(two | or) 0.04692972215736633
P(trifling | my) 0.01265188525616936
P(experiences, | trifling) 0.042383550146873686
P(you | experiences,) 0.042383550146873686
P(may | you) 0.053969621889475385
P(be | may) 0.026698387523129793
P(interested | be) 0.014673834083975011
P(this.” | in) 0.006786266209769535
P(he | this.”) 0.042383550146873686
P(threw | he) 0.009918491603653148
P(a | over) 0.033858531679517266
P(sheet | a) 0.009579183148262877
P(of | sheet) 0.08095046314941601
P(thick, | of) 0.004375514447862063
P(pink-tinted | thick,) 0.04067660088602497
P(notepaper | pink-tinted) 0.042383550146873686
P(which | notepaper) 0.042383550146873686
P(lying | been) 0.02252955610082534
P(open | lying) 0.042383550146873686
P(table. | the) 0.005277945540004726
P(“it | table.) 0.04067660088602497
P(came | “it) 0.030764544623819678
P(by | came) 0.03503295178633368
P(last | the) 0.0026521019877635693
P(post,” | last) 0.042383550146873686
P(said | post,”) 0.042383550146873686
P(he. | said) 0.10698270339525945
P(“read | he.) 0.033858531679517266
P(it | “read) 0.042383550146873686
P(aloud.” | it) 0.009113056031760354
P(note | the) 0.007903789092245884
P(was | note) 0.03629177146963708
P(undated, | was) 0.00842860719352416
P(and | undated,) 0.042383550146873686
P(without | and) 0.004636643253913602
P(either | without) 0.033858531679517266
P(signature | either) 0.04067660088602497
P(or | signature) 0.042383550146873686
P(address. | or) 0.023581601681064674
P(will | “there) 0.03910181958962446
P(call | will) 0.02111645410830023
P(upon | call) 0.03910181958962446
P(you | upon) 0.02252955610082534
P(to-night, | you) 0.01088010341484434
P(at | to-night,) 0.042383550146873686
P(a | at) 0.013867911574900454
P(quarter | a) 0.009579183148262877
P(to | quarter) 0.04067660088602497
P(eight | to) 0.004790589574538728
P(o’clock,” | eight) 0.03910181958962446
P(it | o’clock,”) 0.042383550146873686
P(“a | said,) 0.04067660088602497
P(gentleman | “a) 0.03910181958962446
P(who | gentleman) 0.03503295178633368
P(desires | who) 0.019870155420027544
P(to | desires) 0.042383550146873686
P(consult | to) 0.004790589574538728
P(you | consult) 0.042383550146873686
P(upon | you) 0.01088010341484434
P(a | upon) 0.0671425384786973
P(matter | a) 0.009579183148262877
P(of | matter) 0.06314797360980207
P(very | the) 0.01052963264448704
P(moment. | deepest) 0.042383550146873686
P(your | moment.) 0.042383550146873686
P(recent | your) 0.02203796639755619
P(services | recent) 0.042383550146873686
P(to | services) 0.042383550146873686
P(one | to) 0.004790589574538728
P(royal | the) 0.005277945540004726
P(houses | royal) 0.04067660088602497
P(of | houses) 0.042383550146873686
P(have | europe) 0.042383550146873686
P(shown | have) 0.014890166592952971
P(that | shown) 0.04067660088602497
P(one | are) 0.023043577458361855
P(who | one) 0.02203796639755619
P(may | who) 0.019870155420027544
P(safely | may) 0.026698387523129793
P(be | safely) 0.042383550146873686
P(trusted | be) 0.014673834083975011
P(with | trusted) 0.042383550146873686
P(which | matters) 0.04067660088602497
P(are | which) 0.01534254898982227
P(of | are) 0.04585900068446269
P(an | of) 0.008707706970497768
P(importance | an) 0.023581601681064674
P(which | importance) 0.04067660088602497
P(can | which) 0.01534254898982227
P(hardly | can) 0.03629177146963708
P(be | hardly) 0.03910181958962446
P(exaggerated. | be) 0.014673834083975011
P(account | this) 0.02473671320107764
P(you | of) 0.008707706970497768
P(we | you) 0.021652483033502097
P(have | we) 0.0719579249342577
P(from | have) 0.029632905793896505
P(all | from) 0.01716811150773415
P(quarters | all) 0.049228508449669355
P(received. | quarters) 0.04067660088602497
P(be | received.) 0.042383550146873686
P(in | be) 0.02920238268197007
P(your | in) 0.006786266209769535
P(then | chamber) 0.04067660088602497
P(at | then) 0.0317310713163682
P(that | at) 0.02759851709460387
P(hour, | that) 0.010324031483185118
P(and | hour,) 0.08095046314941601
P(do | and) 0.004636643253913602
P(take | not) 0.015823280589064705
P(it | take) 0.03629177146963708
P(amiss | it) 0.009113056031760354
P(if | amiss) 0.042383550146873686
P(your | if) 0.026010816379088336
P(visitor | your) 0.02203796639755619
P(a | wear) 0.04067660088602497
P(mask.” | a) 0.004813420387933088
P(indeed | is) 0.01163192445007486
P(a | indeed) 0.03910181958962446
P(mystery,” | a) 0.009579183148262877
P(i | mystery,”) 0.04067660088602497
P(remarked. | i) 0.005292668867578473
P(“what | remarked.) 0.03910181958962446
P(do | “what) 0.07491613865076406
P(imagine | you) 0.01088010341484434
P(that | imagine) 0.04067660088602497
P(it | that) 0.05121128488193805
P(have | “i) 0.018420572679190225
P(no | have) 0.014890166592952971
P(data | no) 0.0317310713163682
P(yet. | data) 0.042383550146873686
P(it | yet.) 0.042383550146873686
P(a | is) 0.10376597950017274
P(capital | a) 0.004813420387933088
P(mistake | capital) 0.042383550146873686
P(to | mistake) 0.042383550146873686
P(theorise | to) 0.004790589574538728
P(before | theorise) 0.042383550146873686
P(one | before) 0.029855158143659476
P(has | one) 0.02203796639755619
P(insensibly | data.) 0.042383550146873686
P(one | insensibly) 0.042383550146873686
P(begins | one) 0.02203796639755619
P(to | begins) 0.042383550146873686
P(twist | to) 0.004790589574538728
P(facts | twist) 0.042383550146873686
P(to | facts) 0.04067660088602497
P(suit | to) 0.009533747569131527
P(theories, | suit) 0.04067660088602497
P(instead | theories,) 0.042383550146873686
P(of | instead) 0.042383550146873686
P(to | theories) 0.042383550146873686
P(facts. | suit) 0.04067660088602497
P(but | facts.) 0.042383550146873686
P(the | but) 0.08973670069854917
P(itself. | note) 0.03629177146963708
P(what | itself.) 0.042383550146873686
P(do | what) 0.05046447401456188
P(from | deduce) 0.03910181958962446
P(carefully | i) 0.005292668867578473
P(examined | carefully) 0.042383550146873686
P(the | examined) 0.04067660088602497
P(writing, | the) 0.0026521019877635693
P(and | writing,) 0.042383550146873686
P(paper | the) 0.0026521019877635693
P(upon | paper) 0.03629177146963708
P(which | upon) 0.02252955610082534
P(it | which) 0.01534254898982227
P(man | “the) 0.03276029841063899
P(wrote | who) 0.0395435766279756
P(it | wrote) 0.03910181958962446
P(presumably | was) 0.00842860719352416
P(well | presumably) 0.042383550146873686
P(to | well) 0.037644427879239654
P(do,” | to) 0.004790589574538728
P(i | do,”) 0.042383550146873686
P(to | endeavouring) 0.042383550146873686
P(imitate | to) 0.004790589574538728
P(my | imitate) 0.042383550146873686
P(companion’s | my) 0.01265188525616936
P(processes. | companion’s) 0.042383550146873686
P(“such | processes.) 0.042383550146873686
P(paper | “such) 0.042383550146873686
P(could | paper) 0.03629177146963708
P(bought | be) 0.014673834083975011
P(under | bought) 0.042383550146873686
P(half | under) 0.033858531679517266
P(a | half) 0.16795172644988265
P(crown | a) 0.004813420387933088
P(a | crown) 0.04067660088602497
P(packet. | a) 0.004813420387933088
P(it | packet.) 0.042383550146873686
P(peculiarly | is) 0.01163192445007486
P(strong | peculiarly) 0.042383550146873686
P(and | strong) 0.03910181958962446
P(is | “peculiar—that) 0.042383550146873686
P(the | is) 0.057698951975123806
P(word,” | very) 0.026010816379088336
P(said | word,”) 0.042383550146873686
P(holmes. | said) 0.10698270339525945
P(“it | holmes.) 0.033858531679517266
P(not | is) 0.023148681331337094
P(an | not) 0.015823280589064705
P(english | an) 0.023581601681064674
P(at | paper) 0.03629177146963708
P(all. | at) 0.02759851709460387
P(hold | all.) 0.04067660088602497
P(it | hold) 0.042383550146873686
P(up | it) 0.009113056031760354
P(light.” | the) 0.0026521019877635693
P(did | i) 0.005292668867578473
P(so, | did) 0.03629177146963708
P(and | so,) 0.042383550146873686
P(saw | and) 0.004636643253913602
P(a | saw) 0.033858531679517266
P(large | a) 0.009579183148262877
P(“e” | large) 0.037644427879239654
P(with | “e”) 0.042383550146873686
P(small | a) 0.014344945908592668
P(“g,” | small) 0.03629177146963708
